id,nominador,nominado,práctica,motivo,fecha
2246,UXOIKV,BYARQR,Gestión visual,flexibilidad,2020-12-25 16:49:25
2247,KLBYOH,GZTILD,5S,liderazgo,2020-02-11 10:57:35
2248,ZVRSPJ,YWBCVM,Mejor enfocada,integridad,2022-12-08 08:37:02
2249,TCYMBR,AVNCFG,Gestión visual,integridad,2020-01-21 11:51:34
2250,UTGFSG,JQFVBG,5S,integridad,2021-10-25 09:19:52
2251,WEAMZG,OQIZSN,Gestión visual,flexibilidad,2020-09-24 09:36:46
2252,XXDOCZ,XGLFJS,Mejor enfocada,integridad,2020-10-21 08:31:52
2253,GBNGHK,BVNVRI,trabajo en equipo,liderazgo,2020-01-20 15:40:20
2254,UTGFSG,NAAYMW,Mejor enfocada,integridad,2021-05-11 15:42:09
2255,PARQZG,OSDYJF,5S,flexibilidad,2021-03-11 11:10:31
2256,ZGFFFA,ZGFFFA,trabajo en equipo,flexibilidad,2020-05-25 12:39:45
2257,KJSLKY,GJXAOW,5S,integridad,2021-07-22 16:21:36
2258,PZTNGZ,NUBWLD,trabajo en equipo,flexibilidad,2022-05-24 14:35:10
2259,RZBQVC,ICSTSE,Gestión visual,liderazgo,2020-03-03 09:42:56
2260,PKOKGH,HOSBFJ,Mejor enfocada,flexibilidad,2021-01-25 15:03:18
2261,YWBCVM,VTURVS,5S,liderazgo,2022-01-13 16:07:01
2262,ZGFFFA,YYZTHO,Gestión visual,eficiencia,2020-12-25 14:43:06
2263,OHZSFW,KJSLKY,Mejor enfocada,liderazgo,2021-03-05 12:42:02
2264,UUSLBB,ODRKER,Mejor enfocada,flexibilidad,2021-05-21 09:34:07
2265,ZGFFFA,XGLFJS,Gestión visual,flexibilidad,2020-09-15 13:32:26
2266,WEAMZG,AUDTVZ,5S,flexibilidad,2021-07-15 16:47:18
2267,JSRCFO,DSHWKM,Gestión visual,liderazgo,2022-12-06 09:39:29
2268,ZVRSPJ,ZVRSPJ,5S,eficiencia,2021-01-18 12:55:37
2269,UXOIKV,PHZJVT,5S,flexibilidad,2021-06-14 08:44:42
2270,JQFVBG,CRLVKD,trabajo en equipo,liderazgo,2022-03-04 10:22:54
2271,DBAUMT,BPNTVI,trabajo en equipo,flexibilidad,2020-11-06 15:19:13
2272,XXDOCZ,UGJBEZ,Mindset digital,liderazgo,2021-01-11 16:22:53
2273,RXEKOY,KQMIRF,5S,integridad,2022-09-02 11:05:55
2274,YXITAI,URYLNS,Mindset digital,eficiencia,2020-02-26 16:11:24
2275,SLTRCW,PZTNGZ,Mejor enfocada,eficiencia,2020-02-28 10:49:31
2276,JSRCFO,HOCGQX,trabajo en equipo,liderazgo,2022-05-02 08:50:33
2277,YMYLFX,LRNAYY,Gestión visual,flexibilidad,2021-10-07 10:21:17
2278,YYZTHO,GJXAOW,Mejor enfocada,integridad,2020-06-03 09:45:04
2279,LGERMY,EKOPDB,trabajo en equipo,liderazgo,2021-09-20 10:57:35
2280,HXLIJQ,GXGRWS,Gestión visual,integridad,2022-01-19 15:35:52
2281,PZTNGZ,HCETRA,Gestión visual,flexibilidad,2020-03-05 14:11:18
2282,SCEBLG,JGDITO,trabajo en equipo,integridad,2020-05-27 11:58:51
2283,UXWVVZ,TOUMIM,trabajo en equipo,integridad,2022-03-24 10:13:10
2284,SKTDVR,HPCBNT,Gestión visual,liderazgo,2020-04-23 11:46:28
2285,ZVRSPJ,ELRFFS,Gestión visual,liderazgo,2022-07-25 08:23:08
2286,WPQVQF,RZBQVC,Mindset digital,eficiencia,2021-11-18 16:32:44
2287,WTEZZM,MDEJQG,5S,eficiencia,2021-06-02 10:57:01
2288,ZJTHTP,XGLFJS,trabajo en equipo,eficiencia,2022-02-09 13:46:50
2289,EAOTWG,CUCDHW,5S,flexibilidad,2021-01-05 09:01:43
2290,SLTRCW,JCOBFG,5S,liderazgo,2022-11-08 16:12:01
2291,RXRBPK,RCBJMC,5S,flexibilidad,2021-06-09 11:12:47
2292,OALJGY,JVPKMH,Gestión visual,liderazgo,2022-12-06 15:18:42
2293,QIFFFW,DIUYMP,trabajo en equipo,integridad,2020-05-19 16:18:36
2294,YPEREB,RHBVCY,Mejor enfocada,liderazgo,2021-08-23 13:54:26
2295,SRHEUW,RHBVCY,Gestión visual,liderazgo,2020-02-11 14:07:16
2296,UIUGGE,AHCZOB,Mejor enfocada,liderazgo,2022-11-14 09:01:17
2297,YSDXVW,XBWZWG,Mindset digital,integridad,2022-08-12 14:56:15
2298,USOPPP,QVGXTN,Gestión visual,flexibilidad,2020-10-19 15:14:05
2299,XOKEPR,SCEBLG,Mejor enfocada,integridad,2022-03-10 09:23:19
2300,RFOFIV,ODRKER,trabajo en equipo,liderazgo,2021-01-26 12:39:16
2301,XXXQMD,UXWVVZ,trabajo en equipo,integridad,2022-10-14 15:28:17
2302,VGUJXS,UIUGGE,Mindset digital,integridad,2022-03-07 10:46:28
2303,TTJBUR,KQMIRF,Gestión visual,flexibilidad,2021-10-28 16:38:59
2304,XOKEPR,WPQVQF,Mindset digital,flexibilidad,2022-12-02 14:42:26
2305,URYLNS,JCOBFG,Mejor enfocada,integridad,2021-07-06 14:41:29
2306,VFHEHR,BGOPCF,5S,flexibilidad,2020-11-03 09:24:27
2307,XOKEPR,PZTNGZ,Mindset digital,flexibilidad,2020-10-21 12:34:46
2308,ZFSNEE,THIDGP,5S,flexibilidad,2022-06-10 15:59:47
2309,BOVVQR,ACMRSR,Gestión visual,liderazgo,2022-01-24 08:41:38
2310,WTEZZM,JSRCFO,Gestión visual,flexibilidad,2020-03-18 15:08:58
2311,ZVRSPJ,ZVRSPJ,Mejor enfocada,eficiencia,2020-11-13 11:21:45
2312,KEUSNF,HVGQZL,trabajo en equipo,integridad,2021-08-13 12:54:24
2313,RHLLVF,OQASBV,trabajo en equipo,eficiencia,2021-09-15 13:09:45
2314,UIUGGE,HVGQZL,Mindset digital,eficiencia,2022-01-17 11:49:51
2315,WTEZZM,UXWVVZ,trabajo en equipo,integridad,2022-05-09 13:27:58
2316,ICOBBV,AHCZOB,5S,liderazgo,2021-10-19 13:45:21
2317,TVGKMZ,PKOKGH,Gestión visual,integridad,2020-07-16 09:27:04
2318,PKOKGH,OTDUUD,Gestión visual,liderazgo,2022-01-18 11:30:57
2319,OKOBZI,IJZCZD,5S,flexibilidad,2021-01-14 13:27:14
2320,QIFFFW,JCOBFG,Mindset digital,eficiencia,2021-03-10 09:29:43
2321,XXXQMD,PKOKGH,Gestión visual,integridad,2022-06-27 13:15:08
2322,OSDYJF,ICOBBV,Mindset digital,eficiencia,2021-03-23 14:35:20
2323,ZVRSPJ,ZVRSPJ,Mejor enfocada,liderazgo,2020-11-18 09:22:40
2324,ZGFFFA,PDZTYG,5S,integridad,2021-12-20 12:29:58
2325,ZGFFFA,NOPCYT,trabajo en equipo,liderazgo,2020-05-01 09:57:17
2326,TJVMBD,HDMEBS,Mindset digital,integridad,2021-05-26 12:09:14
2327,QBRDLY,COAWHR,5S,liderazgo,2022-09-13 11:14:19
2328,TVGKMZ,PDZTYG,Mejor enfocada,integridad,2021-02-09 10:02:36
2329,ICOBBV,HVSCPV,5S,flexibilidad,2022-07-06 16:13:29
2330,OHZSFW,JGDITO,Mindset digital,eficiencia,2020-01-15 14:12:48
2331,YSDXVW,YELGTT,trabajo en equipo,integridad,2020-03-17 15:48:12
2332,ZGFFFA,XOKEPR,trabajo en equipo,liderazgo,2021-02-11 08:37:54
2333,EKJNGS,CRLVKD,Mejor enfocada,integridad,2022-04-14 14:25:47
2334,KHQIMX,CMSRDQ,Mindset digital,liderazgo,2020-09-22 16:44:19
2335,YPEREB,UUSLBB,5S,flexibilidad,2020-03-05 12:14:03
2336,ULHLQI,RHMZLJ,trabajo en equipo,integridad,2020-04-28 16:12:10
2337,KHQIMX,CRLVKD,Mejor enfocada,integridad,2020-03-12 09:31:26
2338,TTJBUR,RHBVCY,Gestión visual,integridad,2022-07-14 08:58:44
2339,NCVITT,HGTZXV,Mindset digital,eficiencia,2020-06-10 15:06:08
2340,HOCGQX,HDMEBS,Gestión visual,eficiencia,2022-04-15 13:16:29
2341,ZJTHTP,YWBCVM,5S,integridad,2021-07-23 08:12:15
2342,NGQYDO,LRDAXO,Mejor enfocada,flexibilidad,2021-08-02 12:14:05
2343,YELGTT,TOUMIM,Mejor enfocada,integridad,2021-01-19 11:01:02
2344,WEAMZG,OBTZBH,trabajo en equipo,flexibilidad,2020-10-14 11:13:08
2345,TJVMBD,GBNGHK,Gestión visual,liderazgo,2020-09-16 10:26:37
2346,SLTRCW,KLASJK,Mindset digital,liderazgo,2021-11-01 11:01:27
2347,YELGTT,LRDAXO,Gestión visual,eficiencia,2022-11-23 09:33:52
2348,QWEVBT,EDTPEY,Mejor enfocada,liderazgo,2021-05-24 13:49:49
2349,MYMUVU,HVGQZL,Gestión visual,eficiencia,2020-03-09 16:49:01
2350,TNFUQD,HOSBFJ,5S,eficiencia,2021-05-26 12:04:22
2351,QVGXTN,OBTZBH,Mejor enfocada,eficiencia,2021-08-24 10:31:17
2352,ZFSNEE,XPKFER,Gestión visual,flexibilidad,2021-01-08 10:25:41
2353,UUSLBB,OKOBZI,5S,liderazgo,2021-05-25 10:33:32
2354,MKXWIX,FISWLE,Mindset digital,flexibilidad,2020-09-11 10:42:19
2355,RHBVCY,GULPBH,Mejor enfocada,eficiencia,2021-01-14 11:02:34
2356,YWBCVM,XXXQMD,5S,flexibilidad,2022-10-06 10:24:38
2357,XOKEPR,QOQREG,trabajo en equipo,integridad,2020-07-06 14:18:37
2358,UXOIKV,ACMRSR,Gestión visual,liderazgo,2021-11-05 09:48:25
2359,KLASJK,JQFVBG,Mejor enfocada,integridad,2021-03-12 13:20:08
2360,RXEKOY,BOVVQR,5S,flexibilidad,2021-04-09 12:43:54
2361,PKOKGH,DSPLFC,Mejor enfocada,flexibilidad,2021-06-14 10:32:30
2362,SKTDVR,IYSOAD,Mejor enfocada,integridad,2020-03-23 15:26:01
2363,UGJBEZ,SKTDVR,Mejor enfocada,eficiencia,2020-06-26 11:21:48
2364,XXDOCZ,UUSLBB,5S,flexibilidad,2022-08-22 08:24:14
2365,XXXQMD,SPISFP,trabajo en equipo,integridad,2021-08-16 15:06:51
2366,MSAPPM,IJZCZD,Mindset digital,flexibilidad,2021-12-24 09:19:28
2367,QIFFFW,PWAOVJ,Gestión visual,flexibilidad,2021-08-18 16:43:35
2368,YYZTHO,TNFUQD,5S,eficiencia,2022-06-08 15:06:25
2369,VGUJXS,SKTDVR,5S,flexibilidad,2022-05-19 09:41:49
2370,XBWZWG,ICOBBV,Gestión visual,flexibilidad,2021-08-23 12:17:37
2371,WIRZZR,PAFJGV,Mindset digital,flexibilidad,2022-05-18 16:31:25
2372,XOKEPR,GJXAOW,trabajo en equipo,integridad,2020-10-06 12:14:44
2373,USOPPP,PZTNGZ,5S,flexibilidad,2020-11-24 11:27:37
2374,ZJTHTP,ZGFFFA,Mejor enfocada,integridad,2020-12-11 08:43:35
2375,NAAYMW,KLBYOH,Mindset digital,liderazgo,2021-09-21 10:24:23
2376,QIFFFW,DSAIUZ,Mejor enfocada,eficiencia,2022-12-13 16:42:04
2377,ZVRSPJ,YXITAI,Mejor enfocada,liderazgo,2022-04-28 14:13:26
2378,WITHGI,LOCLBR,trabajo en equipo,integridad,2022-05-16 08:02:26
2379,ZFSNEE,YPEREB,trabajo en equipo,flexibilidad,2022-12-28 12:56:03
2380,XXDOCZ,MDSLPF,Gestión visual,eficiencia,2022-01-21 15:18:30
2381,MMMROI,KHQIMX,Mindset digital,integridad,2022-11-18 10:55:43
2382,PDZTYG,KEUSNF,trabajo en equipo,flexibilidad,2021-10-18 09:45:07
2383,YWBCVM,QIFFFW,Gestión visual,integridad,2022-03-08 11:26:42
2384,DSPLFC,AICYGJ,trabajo en equipo,liderazgo,2020-12-01 14:07:04
2385,YWBCVM,YELGTT,Mindset digital,flexibilidad,2020-02-20 11:44:29
2386,HTWLQX,EDTPEY,trabajo en equipo,eficiencia,2022-06-06 11:22:03
2387,ZFSNEE,PWAOVJ,Gestión visual,liderazgo,2022-12-01 12:29:43
2388,TQGKAB,MDSLPF,trabajo en equipo,integridad,2020-06-12 16:08:36
2389,YELGTT,JQFVBG,Gestión visual,integridad,2021-05-25 11:25:27
2390,VTURVS,TQGKAB,trabajo en equipo,integridad,2021-09-23 16:31:45
2391,WJTRJS,LUTHTK,5S,integridad,2022-08-03 09:43:12
2392,XXDOCZ,TCYMBR,Mindset digital,liderazgo,2022-06-01 09:27:05
2393,YWBCVM,YSDXVW,Gestión visual,eficiencia,2021-06-17 16:28:57
2394,ZJTHTP,XBWZWG,trabajo en equipo,integridad,2022-07-07 16:24:59
2395,SKBQGD,BYARQR,trabajo en equipo,liderazgo,2020-08-17 10:50:03
2396,HOCGQX,DSAIUZ,Mindset digital,flexibilidad,2020-04-17 14:14:14
2397,OTDUUD,GTKOAR,trabajo en equipo,integridad,2020-02-28 15:59:08
2398,TVGKMZ,QWEVBT,Mindset digital,liderazgo,2020-02-11 08:33:37
2399,KEUSNF,FJQVLT,Gestión visual,integridad,2020-11-17 09:21:10
2400,YXITAI,XXDOCZ,Mindset digital,flexibilidad,2020-11-24 10:47:42
2401,TCYMBR,IWZWZC,trabajo en equipo,integridad,2020-08-17 13:39:47
2402,RIXIXG,JQFVBG,trabajo en equipo,integridad,2021-07-06 16:14:17
2403,XXXQMD,OSDYJF,trabajo en equipo,flexibilidad,2022-12-23 14:09:42
2404,PARQZG,KEUSNF,Gestión visual,liderazgo,2021-09-17 09:41:56
2405,XQOAVC,CUCDHW,5S,eficiencia,2020-06-24 09:51:59
2406,XXXQMD,UPALUH,Mejor enfocada,integridad,2022-09-23 09:57:05
2407,XXXQMD,RCBJMC,Mindset digital,eficiencia,2021-03-08 15:27:35
2408,TTJBUR,ADACNO,Gestión visual,flexibilidad,2021-03-25 14:16:51
2409,YBPEUH,SCEBLG,Gestión visual,flexibilidad,2020-08-24 09:21:57
2410,LRNAYY,HGTZXV,Mindset digital,flexibilidad,2021-06-25 12:08:13
2411,JSRCFO,JQFVBG,Gestión visual,liderazgo,2021-07-13 11:40:41
2412,TNFUQD,KLASJK,Gestión visual,flexibilidad,2020-12-10 15:12:06
2413,XQOAVC,JQFVBG,trabajo en equipo,liderazgo,2020-09-24 11:20:44
2414,XKNINO,JDKPXA,5S,flexibilidad,2021-11-08 15:26:57
2415,SKTDVR,LGERMY,Mejor enfocada,integridad,2021-09-06 16:31:23
2416,NOPCYT,KVXWQK,Mejor enfocada,eficiencia,2020-10-12 10:58:01
2417,MPAOFI,LUTHTK,trabajo en equipo,eficiencia,2020-12-14 12:51:07
2418,UUSLBB,NGQYDO,Mejor enfocada,flexibilidad,2021-03-17 16:44:17
2419,YXITAI,AHCZOB,Mejor enfocada,liderazgo,2020-11-20 12:14:52
2420,PAFJGV,OIMGGQ,5S,integridad,2020-11-19 12:03:03
2421,UXOIKV,USOPPP,Mindset digital,flexibilidad,2022-12-21 16:50:45
2422,LYQTZB,DSHWKM,Mindset digital,flexibilidad,2021-06-04 11:38:44
2423,USOPPP,RFOFIV,Mindset digital,liderazgo,2020-01-17 11:59:51
2424,ZVRSPJ,ZFSNEE,Mindset digital,integridad,2021-10-04 13:39:25
2425,OQIZSN,LOOGPX,Mindset digital,eficiencia,2022-09-09 09:01:26
2426,UIUGGE,RXEKOY,trabajo en equipo,integridad,2020-10-06 12:37:27
2427,UGJBEZ,GTKOAR,Mejor enfocada,eficiencia,2022-02-01 14:52:16
2428,RIXIXG,GKWWEC,Mejor enfocada,integridad,2021-09-06 09:25:41
2429,IJZCZD,GSAZKQ,Mejor enfocada,eficiencia,2022-07-07 14:20:04
2430,ZGFFFA,PDZTYG,trabajo en equipo,liderazgo,2020-11-10 15:08:40
2431,KLASJK,HTWLQX,trabajo en equipo,liderazgo,2021-12-22 12:38:04
2432,VTURVS,LGERMY,Mejor enfocada,liderazgo,2022-11-17 11:18:04
2433,YYZTHO,ODRKER,trabajo en equipo,eficiencia,2022-05-18 09:16:59
2434,YXITAI,YPEREB,Gestión visual,eficiencia,2021-10-13 08:23:28
2435,VRLILS,PUJIAS,trabajo en equipo,eficiencia,2020-06-18 10:49:41
2436,YWBCVM,RCBJMC,5S,eficiencia,2022-07-19 14:30:06
2437,UGTYPD,DSPLFC,5S,flexibilidad,2022-12-08 15:14:34
2438,RXRBPK,GGCZIW,trabajo en equipo,liderazgo,2021-03-01 09:26:34
2439,LUTHTK,ELRFFS,trabajo en equipo,integridad,2020-08-03 10:59:13
2440,QWEVBT,LHAHZY,5S,integridad,2020-06-24 12:01:20
2441,YPEREB,XBWZWG,Mejor enfocada,integridad,2022-01-28 11:37:10
2442,WPQVQF,AORPNC,Mindset digital,liderazgo,2021-03-10 13:53:43
2443,USOPPP,USOPPP,trabajo en equipo,flexibilidad,2022-04-20 08:43:20
2444,ZJTHTP,XPKFER,Gestión visual,flexibilidad,2021-03-11 12:47:33
2445,TVGKMZ,LTJQSN,Mindset digital,liderazgo,2020-04-06 11:02:58
2446,PKOKGH,BKSNPB,Mejor enfocada,integridad,2021-06-07 14:28:16
2447,WEAMZG,COAWHR,Mejor enfocada,integridad,2020-12-09 10:42:30
2448,WPCELQ,UPALUH,5S,eficiencia,2022-09-07 12:24:17
2449,RCBJMC,MELVYR,5S,eficiencia,2020-11-04 08:28:24
2450,ZGFFFA,OQIZSN,Mindset digital,eficiencia,2020-09-09 11:02:11
2451,WJTRJS,UXWVVZ,5S,eficiencia,2021-11-24 14:08:48
2452,PKOKGH,KELKAC,Mindset digital,liderazgo,2021-10-05 08:01:15
2453,NGQYDO,CATXCK,trabajo en equipo,flexibilidad,2022-12-13 08:03:07
2454,UUSLBB,SKTDVR,Gestión visual,eficiencia,2022-08-12 15:36:06
2455,RCBJMC,OHZSFW,trabajo en equipo,flexibilidad,2022-03-18 08:25:58
2456,QWEVBT,EHQSCS,5S,flexibilidad,2022-05-10 10:32:08
2457,XGLFJS,OALJGY,Gestión visual,eficiencia,2020-08-14 10:26:58
2458,QOQREG,DSAIUZ,Mejor enfocada,integridad,2020-12-22 12:06:58
2459,UXOIKV,UIUGGE,trabajo en equipo,integridad,2020-07-20 09:21:08
2460,NCVITT,MMMROI,Mejor enfocada,eficiencia,2022-05-18 15:27:48
2461,MMMROI,GTKOAR,Gestión visual,integridad,2020-03-27 15:52:59
2462,LMJATX,KLASJK,5S,eficiencia,2022-10-14 16:52:46
2463,VRLILS,LTJQSN,Gestión visual,eficiencia,2021-03-22 16:37:45
2464,ZJTHTP,XBWZWG,Gestión visual,eficiencia,2022-06-14 16:25:37
2465,YMYLFX,RXRBPK,Mejor enfocada,flexibilidad,2022-10-26 13:30:30
2466,NAAYMW,NAAYMW,trabajo en equipo,liderazgo,2022-12-09 11:57:32
2467,QIFFFW,GTKOAR,Mejor enfocada,liderazgo,2021-08-19 13:51:16
2468,SESMZO,OALJGY,Gestión visual,liderazgo,2022-06-08 14:57:32
2469,MARBVV,CMSRDQ,Mejor enfocada,eficiencia,2021-08-19 16:20:24
2470,ZVRSPJ,HDMEBS,trabajo en equipo,eficiencia,2022-08-15 14:14:00
2471,HVGQZL,BKSNPB,trabajo en equipo,liderazgo,2020-10-16 10:42:19
2472,YELGTT,THIDGP,Mejor enfocada,liderazgo,2020-10-23 09:27:41
2473,SKTDVR,HVSCPV,trabajo en equipo,integridad,2020-06-04 12:05:57
2474,XPKFER,WJTRJS,Mejor enfocada,integridad,2021-05-27 09:43:28
2475,DSAIUZ,CMSRDQ,Mejor enfocada,eficiencia,2020-02-26 12:43:10
2476,LHAHZY,CGGPQA,5S,liderazgo,2020-06-17 15:53:41
2477,ZGFFFA,UGJBEZ,trabajo en equipo,flexibilidad,2021-05-24 16:50:41
2478,YYZTHO,MDEJQG,Mindset digital,liderazgo,2022-09-20 08:03:01
2479,TTJBUR,FJQVLT,trabajo en equipo,liderazgo,2021-01-27 09:27:31
2480,PUJIAS,AOPCNY,trabajo en equipo,integridad,2021-12-24 16:43:37
2481,YPEREB,WPCELQ,Mejor enfocada,liderazgo,2021-03-10 13:27:49
2482,XKNINO,VTURVS,Gestión visual,liderazgo,2022-12-23 09:16:40
2483,XPKFER,LOOGPX,Mindset digital,flexibilidad,2020-06-12 12:09:40
2484,XQOAVC,TTJBUR,5S,integridad,2022-10-10 16:00:52
2485,TNFUQD,PHZJVT,trabajo en equipo,flexibilidad,2021-09-23 11:03:00
2486,XXDOCZ,LBTOGT,trabajo en equipo,integridad,2022-10-20 12:25:03
2487,WPCELQ,EAOTWG,Gestión visual,eficiencia,2021-08-26 16:00:44
2488,SLTRCW,JDKPXA,Mejor enfocada,eficiencia,2020-05-14 13:38:54
2489,UGTYPD,TJZCUB,Gestión visual,eficiencia,2021-12-10 15:04:39
2490,YPEREB,QOQREG,trabajo en equipo,liderazgo,2021-08-18 13:18:48
2491,WTEZZM,SCEBLG,trabajo en equipo,integridad,2020-07-02 11:50:44
2492,NUQHZM,HVSCPV,5S,flexibilidad,2021-09-14 08:43:39
2493,ZFSNEE,YMYLFX,Mejor enfocada,integridad,2022-08-10 08:28:35
2494,USOPPP,AORPNC,Mindset digital,eficiencia,2021-06-04 14:40:45
2495,XXXQMD,WTEZZM,Mindset digital,liderazgo,2020-06-22 12:18:31
2496,TJVMBD,GXGRWS,Gestión visual,integridad,2022-12-06 10:08:07
2497,OSDYJF,HVSCPV,Mejor enfocada,flexibilidad,2022-01-10 12:43:50
2498,HOCGQX,DSHWKM,Gestión visual,flexibilidad,2021-04-27 16:39:01
2499,KELKAC,IJZCZD,Mindset digital,flexibilidad,2020-09-04 11:29:34
2500,HCETRA,GKWWEC,Mindset digital,flexibilidad,2021-07-23 15:44:35
2501,TOUMIM,JCOBFG,Mejor enfocada,integridad,2022-09-20 12:13:35
2502,YPEREB,LRDAXO,5S,liderazgo,2020-05-11 11:26:26
2503,XXDOCZ,OIMGGQ,trabajo en equipo,liderazgo,2020-03-05 14:14:27
2504,ZGFFFA,YELGTT,Mindset digital,eficiencia,2022-01-06 13:02:49
2505,HTWLQX,AKNUZC,trabajo en equipo,liderazgo,2022-05-04 15:33:40
2506,RXRBPK,MPAOFI,Gestión visual,flexibilidad,2021-11-10 12:39:53
2507,WTEZZM,OIMGGQ,Gestión visual,integridad,2022-05-09 12:37:17
2508,XKNINO,TCYMBR,5S,liderazgo,2020-11-26 10:04:41
2509,OTDUUD,EKOPDB,Gestión visual,liderazgo,2021-06-28 09:00:05
2510,ZVRSPJ,XGLFJS,5S,eficiencia,2021-11-26 09:23:56
2511,GULPBH,GULPBH,Mejor enfocada,liderazgo,2020-07-14 14:46:50
2512,XQOAVC,RXRBPK,trabajo en equipo,eficiencia,2021-01-28 11:47:46
2513,ULHLQI,HVSCPV,trabajo en equipo,integridad,2022-06-01 15:21:19
2514,VFHEHR,ULHLQI,Mindset digital,integridad,2021-03-24 10:18:34
2515,QWEVBT,HCETRA,Gestión visual,eficiencia,2021-04-26 08:29:04
2516,XKNINO,UGJBEZ,Gestión visual,liderazgo,2020-04-24 10:43:14
2517,ULHLQI,KLASJK,5S,liderazgo,2021-11-10 13:40:59
2518,ZJTHTP,YYZTHO,Mindset digital,integridad,2022-12-06 10:00:26
2519,DBAUMT,CHZYGW,trabajo en equipo,liderazgo,2021-01-08 10:15:33
2520,RFOFIV,MPAOFI,Mejor enfocada,flexibilidad,2021-07-15 15:25:03
2521,URYLNS,RXRBPK,Gestión visual,eficiencia,2020-04-20 11:16:57
2522,WITHGI,PKOKGH,trabajo en equipo,eficiencia,2020-07-15 12:45:36
2523,RHBVCY,PDZTYG,trabajo en equipo,liderazgo,2022-09-23 11:47:43
2524,UGJBEZ,NUBWLD,trabajo en equipo,eficiencia,2022-09-07 16:24:03
2525,ZJTHTP,ZGFFFA,Gestión visual,flexibilidad,2021-03-17 11:02:14
2526,UGTYPD,NUBWLD,5S,flexibilidad,2021-08-16 09:02:18
2527,LOOGPX,DBAUMT,5S,flexibilidad,2022-07-05 13:19:58
2528,ZVRSPJ,ZVRSPJ,Mindset digital,liderazgo,2021-07-08 16:32:41
2529,PZTNGZ,OBTZBH,Mejor enfocada,flexibilidad,2021-11-03 12:44:48
2530,WEAMZG,WEAMZG,Gestión visual,integridad,2021-08-18 08:41:12
2531,TCYMBR,OTDUUD,Mejor enfocada,eficiencia,2021-02-25 13:16:15
2532,RHBVCY,NAAYMW,Gestión visual,integridad,2022-01-10 10:38:16
2533,TQGKAB,QIFFFW,Mejor enfocada,liderazgo,2021-12-20 10:13:29
2534,PAFJGV,GTKOAR,Mindset digital,eficiencia,2020-06-26 16:35:47
2535,PKOKGH,HVGQZL,Mindset digital,eficiencia,2022-07-27 12:55:44
2536,TQGKAB,PARQZG,Mindset digital,flexibilidad,2020-12-11 08:20:35
2537,OQIZSN,KJSLKY,5S,liderazgo,2022-12-14 14:08:14
2538,UXOIKV,MMMROI,Mejor enfocada,integridad,2020-09-28 16:23:05
2539,PDZTYG,KLASJK,Mindset digital,flexibilidad,2021-07-13 14:08:27
2540,XPKFER,XBWZWG,Mejor enfocada,flexibilidad,2022-11-08 16:19:55
2541,LOCLBR,ICOBBV,5S,flexibilidad,2020-03-23 14:06:22
2542,XXDOCZ,HOSBFJ,trabajo en equipo,liderazgo,2020-08-14 13:46:08
2543,YYZTHO,KLASJK,trabajo en equipo,liderazgo,2021-05-12 09:05:37
2544,YWBCVM,GYWCQG,Gestión visual,eficiencia,2021-03-03 15:31:18
2545,PDZTYG,HXLIJQ,Gestión visual,liderazgo,2022-12-06 09:48:45
2546,ZJTHTP,TOUMIM,Gestión visual,liderazgo,2021-03-19 15:36:15
2547,TOUMIM,ELRFFS,Mindset digital,integridad,2022-09-22 14:23:03
2548,OQASBV,ASKKCQ,Mejor enfocada,integridad,2021-06-08 10:35:55
2549,VGUJXS,KELKAC,Mejor enfocada,integridad,2022-07-21 15:55:08
2550,XXOQZL,JGDITO,Mindset digital,integridad,2021-06-08 08:39:20
2551,KVXWQK,GJXAOW,Mejor enfocada,liderazgo,2021-12-20 12:11:41
2552,EKOPDB,BYARQR,Mejor enfocada,integridad,2021-12-20 10:00:13
2553,DBAUMT,CUCDHW,Mejor enfocada,flexibilidad,2020-06-09 09:10:08
2554,SCEBLG,ASKKCQ,trabajo en equipo,eficiencia,2021-10-20 16:10:10
2555,GZTILD,GHZJTZ,Mejor enfocada,eficiencia,2021-09-01 10:14:40
2556,GXGRWS,BKSNPB,trabajo en equipo,eficiencia,2021-03-08 16:50:24
2557,PDZTYG,HCETRA,trabajo en equipo,liderazgo,2021-02-25 14:47:39
2558,XQOAVC,NOPCYT,Mejor enfocada,eficiencia,2020-01-06 10:24:35
2559,YXITAI,LYQTZB,Mejor enfocada,liderazgo,2022-10-17 10:10:34
2560,ULHLQI,SKTDVR,Gestión visual,eficiencia,2022-02-25 13:15:09
2561,XXOQZL,AOPCNY,5S,integridad,2021-12-03 15:47:27
2562,SCEBLG,OKOBZI,Mindset digital,liderazgo,2020-01-27 08:23:33
2563,YXITAI,JVPKMH,Mindset digital,eficiencia,2021-06-03 10:56:05
2564,ZJTHTP,YXITAI,Mejor enfocada,flexibilidad,2020-11-06 14:39:10
2565,ZVRSPJ,BOVVQR,Mindset digital,liderazgo,2020-08-07 11:17:16
2566,PARQZG,MARBVV,Mejor enfocada,liderazgo,2020-04-28 10:39:32
2567,WITHGI,GGCZIW,Gestión visual,integridad,2022-08-26 13:22:01
2568,OBTZBH,BPNTVI,trabajo en equipo,flexibilidad,2020-06-12 16:01:00
2569,PAFJGV,AVNCFG,5S,eficiencia,2021-09-20 14:34:28
2570,RHLLVF,QOQREG,5S,eficiencia,2021-04-19 08:03:46
